TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
mALPS,GO_BP_2023,Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),GO_BP_2023::Positive_Regulation_Of_Pattern_Recognition_Receptor_Signaling_Pathway_(GO:0062208),36,-0.039907,-0.0017736,0.14937,0.60532,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Lysosome Localization (GO:0032418),GO_BP_2023::Lysosome_Localization_(GO:0032418),39,-0.039093,-0.0018082,0.14619,0.60542,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Mitochondrial Fusion (GO:0010635),GO_BP_2023::Regulation_Of_Mitochondrial_Fusion_(GO:0010635),10,-0.068678,-0.0016098,0.25576,0.60585,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,Reactome_2022::Golgi_Cisternae_Pericentriolar_Stack_Reorganization_R-HSA-162658,14,-0.065294,-0.0018107,0.24316,0.60585,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Negative Regulation Of miRNA Transcription (GO:1902894),GO_BP_2023::Negative_Regulation_Of_miRNA_Transcription_(GO:1902894),20,-0.05751,-0.0019059,0.21403,0.60592,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Intrinsic Apoptotic Signaling Pathway (GO:0097193),GO_BP_2023::Intrinsic_Apoptotic_Signaling_Pathway_(GO:0097193),99,-0.02368,-0.0017422,0.087661,0.60647,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Membrane Lipid Metabolic Process (GO:0006643),GO_BP_2023::Membrane_Lipid_Metabolic_Process_(GO:0006643),17,-0.054493,-0.0016651,0.2017,0.60649,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Interactions Of Rev With Host Cellular Proteins R-HSA-177243,Reactome_2022::Interactions_Of_Rev_With_Host_Cellular_Proteins_R-HSA-177243,37,-0.043361,-0.0019536,0.15938,0.60721,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Signaling By Insulin Receptor R-HSA-74752,Reactome_2022::Signaling_By_Insulin_Receptor_R-HSA-74752,74,-0.02613,-0.0016632,0.095334,0.60799,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Signaling By FGFR3 R-HSA-5654741,Reactome_2022::Signaling_By_FGFR3_R-HSA-5654741,37,-0.039249,-0.0017684,0.14314,0.60804,0.9673418390162102,1.0,False,False
