library,term,traits_tested,traits_P_lt_0_005,minimum_P,maximum_P,minimum_BH_FDR,FDR_significant_any_trait
GO_BP_2023,Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060260),3,0,0.0092956,0.027069,0.7279169846153846,False
GO_BP_2023,Positive Regulation Of DNA-templated Transcription Initiation (GO:2000144),3,0,0.0095057,0.028043,0.7326160810810811,False
Reactome_2022,Nuclear Receptor Transcription Pathway R-HSA-383280,3,0,0.0060392,0.029574,0.6472500555555556,False
GO_BP_2023,"Positive Regulation Of mRNA Splicing, Via Spliceosome (GO:0048026)",3,0,0.0067092,0.029592,0.7598961313868613,False
Reactome_2022,NRAGE Signals Death Thru JNK R-HSA-193648,3,0,0.011796,0.030303,0.7615670886075949,False
Reactome_2022,Asymmetric Localization Of PCP Proteins R-HSA-4608870,3,0,0.0055272,0.030739,0.5916865306122449,False
GO_BP_2023,Regulation Of Cellular Component Organization (GO:0051128),3,0,0.022001,0.030792,0.7646050657894736,False
Reactome_2022,DCC Mediated Attractive Signaling R-HSA-418885,3,0,0.0061818,0.030883,0.7615670886075949,False
GO_BP_2023,Regulation Of Protein Targeting To Mitochondrion (GO:1903214),3,0,0.0085088,0.031164,0.7235604666666667,False
GO_BP_2023,Outflow Tract Septum Morphogenesis (GO:0003148),3,0,0.014356,0.031286,0.7827946511627907,False
GO_BP_2023,Membrane Protein Proteolysis (GO:0033619),3,0,0.020243,0.031516,0.7646050657894736,False
GO_BP_2023,Positive Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000651),3,0,0.014135,0.032476,0.7827946511627907,False
GO_BP_2023,protein-DNA Complex Organization (GO:0071824),3,0,0.0094976,0.03335,0.6906112,False
Reactome_2022,Defects In Cobalamin (B12) Metabolism R-HSA-3296469,3,0,0.0051767,0.033641,0.5916865306122449,False
Reactome_2022,Signaling By Hedgehog R-HSA-5358351,3,0,0.0061807,0.034186,0.5931829444444445,False
Reactome_2022,KEAP1-NFE2L2 Pathway R-HSA-9755511,3,0,0.01051,0.034356,0.7326160810810811,False
GO_BP_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),3,0,0.031191,0.034861,0.8111107075471697,False
GO_BP_2023,Regulation Of Phosphoprotein Phosphatase Activity (GO:0043666),3,0,0.016582,0.036107,0.7598961313868613,False
GO_BP_2023,G Protein-Coupled Glutamate Receptor Signaling Pathway (GO:0007216),3,0,0.016132,0.036706,0.7827946511627907,False
GO_BP_2023,Negative Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000650),3,0,0.014967,0.037869,0.7827946511627907,False
GO_BP_2023,Regulation Of Autophagy (GO:0010506),3,0,0.0269,0.038547,0.8298750915750917,False
Reactome_2022,Semaphorin Interactions R-HSA-373755,3,0,0.0064138,0.038694,0.6773927288135594,False
GO_BP_2023,Sensory Perception Of Light Stimulus (GO:0050953),3,0,0.023116,0.039598,0.8273067857142858,False
