library,term,traits_tested,traits_P_lt_0_005,minimum_P,maximum_P,minimum_BH_FDR,FDR_significant_any_trait
GO_BP_2023,Response To Lipopolysaccharide (GO:0032496),3,0,0.46685,0.50892,0.9409529977794228,False
GO_BP_2023,Positive Regulation Of Myelination (GO:0031643),3,0,0.016028,0.50912,0.8503912258064517,False
GO_BP_2023,Negative Regulation Of Cartilage Development (GO:0061037),3,0,0.33017,0.50914,0.9441554404145076,False
GO_BP_2023,Fatty Acid Transmembrane Transport (GO:1902001),3,0,0.33469,0.50929,0.9441554404145076,False
GO_BP_2023,Regulation Of Interferon-Beta Production (GO:0032648),3,0,0.24424,0.5093,0.9142010813887308,False
GO_BP_2023,Leukotriene Metabolic Process (GO:0006691),3,0,0.32445,0.50986,0.9441554404145076,False
Reactome_2022,Metabolism Of Steroid Hormones R-HSA-196071,3,0,0.29874,0.50993,0.9142010813887308,False
GO_BP_2023,Peptidyl-Tyrosine Dephosphorylation (GO:0035335),3,0,0.1779,0.50999,0.9142010813887308,False
GO_BP_2023,Regulation Of Epidermal Cell Differentiation (GO:0045604),3,0,0.43054,0.51002,0.9393504765535644,False
GO_BP_2023,Cell Projection Organization (GO:0030030),3,0,0.059489,0.51012,0.9148006344410876,False
Reactome_2022,Signaling By WNT In Cancer R-HSA-4791275,3,0,0.38388,0.51015,0.9322519561068702,False
GO_BP_2023,Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902235),3,0,0.090363,0.51058,0.9046810444874276,False
GO_BP_2023,Protein Deacetylation (GO:0006476),3,0,0.30879,0.51083,0.9142010813887308,False
GO_BP_2023,Regulation Of Neurotransmitter Receptor Activity (GO:0099601),3,0,0.47769,0.51109,0.9393504765535644,False
Reactome_2022,Mitochondrial Fatty Acid Beta-Oxidation R-HSA-77289,3,0,0.4644,0.51122,0.9393504765535644,False
GO_BP_2023,Positive Regulation Of T Cell Differentiation (GO:0045582),3,0,0.42423,0.51125,0.9393504765535644,False
GO_BP_2023,Positive Regulation Of Vacuole Organization (GO:0044090),3,0,0.15724,0.51127,0.9441554404145076,False
GO_BP_2023,Natural Killer Cell Activation Involved In Immune Response (GO:0002323),3,0,0.41312,0.51128,0.9454545718432512,False
Reactome_2022,Influenza Viral RNA Transcription And Replication R-HSA-168273,3,0,0.44705,0.51146,0.9393504765535644,False
GO_BP_2023,Nitric Oxide Biosynthetic Process (GO:0006809),3,0,0.17453,0.51171,0.9441554404145076,False
GO_BP_2023,Peptidyl-Proline Modification (GO:0018208),3,0,0.29707,0.51185,0.9454545718432512,False
GO_BP_2023,Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste (GO:0001580),3,0,0.11443,0.51191,0.9225998824911869,False
Reactome_2022,Signal Regulatory Protein Family Interactions R-HSA-391160,3,0,0.25122,0.5121,0.9142010813887308,False
GO_BP_2023,Regulation Of Cell Cycle Process (GO:0010564),3,0,0.26034,0.51224,0.9142010813887308,False
GO_BP_2023,Resolution Of Meiotic Recombination Intermediates (GO:0000712),3,0,0.32111,0.51229,0.9385924805531548,False
Reactome_2022,Nicotinamide Salvaging R-HSA-197264,3,0,0.21902,0.51279,0.9142010813887308,False
Reactome_2022,Basigin Interactions R-HSA-210991,3,0,0.44526,0.51294,0.9393504765535644,False
Reactome_2022,HIV Life Cycle R-HSA-162587,3,0,0.1078,0.5132,0.9090356792144026,False
Reactome_2022,Folding Of Actin By CCT/TriC R-HSA-390450,3,0,0.46232,0.51331,0.9467693583273252,False
GO_BP_2023,Negative Regulation Of Cell Adhesion (GO:0007162),3,0,0.24058,0.51342,0.9454545718432512,False
Reactome_2022,Mitotic Metaphase And Anaphase R-HSA-2555396,3,0,0.48525,0.5136,0.9467693583273252,False
Reactome_2022,Pyroptosis R-HSA-5620971,3,0,0.29705,0.51368,0.9142010813887308,False
GO_BP_2023,Pattern Recognition Receptor Signaling Pathway (GO:0002221),3,0,0.48246,0.51386,0.9467693583273252,False
GO_BP_2023,Adipose Tissue Development (GO:0060612),3,0,0.28304,0.51413,0.9467273592715232,False
GO_BP_2023,Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751),3,0,0.21601,0.51419,0.9441554404145076,False
GO_BP_2023,Phosphatidylcholine Biosynthetic Process (GO:0006656),3,0,0.41905,0.51465,0.9393504765535644,False
Reactome_2022,EPH-Ephrin Signaling R-HSA-2682334,3,0,0.46313,0.51466,0.9467693583273252,False
GO_BP_2023,Regulation Of Oxidative Phosphorylation (GO:0002082),3,0,0.35779,0.51472,0.922255873493976,False
GO_BP_2023,Negative Regulation Of Cellular Biosynthetic Process (GO:0031327),3,0,0.32566,0.5149,0.9172943219404628,False
GO_BP_2023,Protein N-linked Glycosylation (GO:0006487),3,0,0.31854,0.51513,0.914765388951522,False
Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,3,0,0.4288,0.51516,0.9467273592715232,False
GO_BP_2023,Sulfation (GO:0051923),3,0,0.45205,0.51534,0.9393504765535644,False
GO_BP_2023,Regulation Of Postsynapse Organization (GO:0099175),3,0,0.18363,0.5156,0.9441554404145076,False
GO_BP_2023,Regulation Of Mitochondrial Membrane Permeability (GO:0046902),3,0,0.3723,0.51622,0.9467693583273252,False
GO_BP_2023,Excitatory Postsynaptic Potential (GO:0060079),3,0,0.37722,0.51642,0.9289679691268692,False
GO_BP_2023,Cellular Glucuronidation (GO:0052695),3,0,0.29095,0.51701,0.9142010813887308,False
GO_BP_2023,Glucuronate Metabolic Process (GO:0019585),3,0,0.29095,0.51701,0.9142010813887308,False
GO_BP_2023,Anterior/Posterior Pattern Specification (GO:0009952),3,0,0.17494,0.51752,0.932877462121212,False
GO_BP_2023,Negative Regulation Of Cellular Component Organization (GO:0051129),3,0,0.30753,0.51761,0.9441554404145076,False
GO_BP_2023,Oligosaccharide-Lipid Intermediate Biosynthetic Process (GO:0006490),3,0,0.38191,0.51764,0.9441554404145076,False
Reactome_2022,Signaling By KIT In Disease R-HSA-9669938,3,0,0.14276,0.51767,0.9142010813887308,False
Reactome_2022,Signaling By ERBB2 ECD Mutants R-HSA-9665348,3,0,0.12838,0.51782,0.9142010813887308,False
GO_BP_2023,ERK1 And ERK2 Cascade (GO:0070371),3,0,0.40373,0.51787,0.9441554404145076,False
GO_BP_2023,Negative Regulation Of Lipid Biosynthetic Process (GO:0051055),3,0,0.44454,0.51794,0.9393504765535644,False
GO_BP_2023,Amide Biosynthetic Process (GO:0043604),3,0,0.16985,0.51806,0.9142010813887308,False
GO_BP_2023,Glycine Transport (GO:0015816),3,0,0.28015,0.51822,0.9142010813887308,False
GO_BP_2023,Protein Localization To Centrosome (GO:0071539),3,0,0.23028,0.51852,0.9142010813887308,False
GO_BP_2023,Glutamine Family Amino Acid Metabolic Process (GO:0009064),3,0,0.39026,0.51855,0.932593145539906,False
GO_BP_2023,"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",3,0,0.46885,0.51878,0.9393504765535644,False
GO_BP_2023,Vesicle-Mediated Transport (GO:0016192),3,0,0.27477,0.51894,0.9142010813887308,False
GO_BP_2023,Nucleic Acid-Templated Transcription (GO:0097659),3,0,0.43996,0.51901,0.9467273592715232,False
GO_BP_2023,Regulation Of Catecholamine Secretion (GO:0050433),3,0,0.26089,0.51929,0.9142010813887308,False
Reactome_2022,Chromatin Modifying Enzymes R-HSA-3247509,3,0,0.45732,0.5193,0.9476422213769494,False
GO_BP_2023,Calcium Ion Import Across Plasma Membrane (GO:0098703),3,0,0.24883,0.51937,0.9441554404145076,False
GO_BP_2023,Synapse Organization (GO:0050808),3,0,0.29211,0.51953,0.9441554404145076,False
GO_BP_2023,Mammary Gland Development (GO:0030879),3,0,0.38766,0.51964,0.9409475992438564,False
GO_BP_2023,Medium-Chain Fatty Acid Metabolic Process (GO:0051791),3,0,0.20769,0.5199,0.9441554404145076,False
GO_BP_2023,Nucleic Acid Metabolic Process (GO:0090304),3,0,0.044297,0.52005,0.8635484411764706,False
GO_BP_2023,Establishment Of Melanosome Localization (GO:0032401),3,0,0.26918,0.52049,0.9441554404145076,False
GO_BP_2023,Melanosome Transport (GO:0032402),3,0,0.26918,0.52049,0.9441554404145076,False
GO_BP_2023,Pigment Granule Transport (GO:0051904),3,0,0.26918,0.52049,0.9441554404145076,False
GO_BP_2023,Phosphatidylcholine Acyl-Chain Remodeling (GO:0036151),3,0,0.30914,0.5211,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Cytokinesis (GO:0032467),3,0,0.20924,0.52127,0.9441554404145076,False
GO_BP_2023,Positive Regulation Of Cell-Matrix Adhesion (GO:0001954),3,0,0.45701,0.52148,0.9393504765535644,False
GO_BP_2023,Response To Hydrogen Peroxide (GO:0042542),3,0,0.23373,0.52171,0.9142010813887308,False
GO_BP_2023,Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),3,0,0.39338,0.52205,0.9441554404145076,False
GO_BP_2023,Negative Regulation Of Response To Biotic Stimulus (GO:0002832),3,0,0.42205,0.52214,0.9476422213769494,False
Reactome_2022,"POU5F1 (OCT4), SOX2, NANOG Activate Genes Related To Proliferation R-HSA-2892247",3,0,0.37936,0.52242,0.9441554404145076,False
GO_BP_2023,Oogenesis (GO:0048477),3,0,0.4954,0.52253,0.9478996096522356,False
GO_BP_2023,Glycerolipid Catabolic Process (GO:0046503),3,0,0.35644,0.52264,0.9476422213769494,False
GO_BP_2023,Regulation Of Cholesterol Transport (GO:0032374),3,0,0.21402,0.52271,0.9142010813887308,False
GO_BP_2023,Regulation Of Protein Kinase A Signaling (GO:0010738),3,0,0.35185,0.52274,0.9393504765535644,False
GO_BP_2023,Aorta Morphogenesis (GO:0035909),3,0,0.25169,0.52301,0.9441554404145076,False
GO_BP_2023,Regulation Of Phospholipase C Activity (GO:1900274),3,0,0.44704,0.5231,0.9393504765535644,False
Reactome_2022,Suppression Of Phagosomal Maturation R-HSA-9637687,3,0,0.33749,0.52323,0.9476422213769494,False
Reactome_2022,RUNX2 Regulates Bone Development R-HSA-8941326,3,0,0.23245,0.52329,0.9156606246514224,False
GO_BP_2023,Multicellular Organismal-Level Water Homeostasis (GO:0050891),3,0,0.13042,0.52372,0.9441554404145076,False
GO_BP_2023,Establishment Of Spindle Orientation (GO:0051294),3,0,0.23168,0.52399,0.9441554404145076,False
Reactome_2022,Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471,3,0,0.49324,0.52399,0.9478996096522356,False
Reactome_2022,Transport Of Mature mRNAs Derived From Intronless Transcripts R-HSA-159234,3,0,0.46785,0.52433,0.9393504765535644,False
GO_BP_2023,Maintenance Of Synapse Structure (GO:0099558),3,0,0.1561,0.52454,0.9142010813887308,False
GO_BP_2023,Negative Regulation Of Carbohydrate Metabolic Process (GO:0045912),3,0,0.0097925,0.5246,0.7326160810810811,False
GO_BP_2023,Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338),3,0,0.40792,0.52473,0.9381720173535792,False
GO_BP_2023,Mismatch Repair (GO:0006298),3,0,0.46307,0.52475,0.9476422213769494,False
Reactome_2022,Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185,3,0,0.2505,0.52498,0.9142010813887308,False
Reactome_2022,Signaling By Erythropoietin R-HSA-9006335,3,0,0.037945,0.52541,0.8635484411764706,False
GO_BP_2023,Positive Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902101),3,0,0.24952,0.52547,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045842),3,0,0.24952,0.52547,0.9142010813887308,False
GO_BP_2023,Regulation Of RIG-I Signaling Pathway (GO:0039535),3,0,0.30786,0.52572,0.9441554404145076,False
GO_BP_2023,Iron-Sulfur Cluster Assembly (GO:0016226),3,0,0.22002,0.52574,0.9142010813887308,False
GO_BP_2023,Metallo-Sulfur Cluster Assembly (GO:0031163),3,0,0.22002,0.52574,0.9142010813887308,False
Reactome_2022,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,3,0,0.22092,0.52595,0.9441554404145076,False
GO_BP_2023,Sphingolipid Metabolic Process (GO:0006665),3,0,0.066053,0.52609,0.8848690726817042,False
GO_BP_2023,Regulation Of T-helper 17 Type Immune Response (GO:2000316),3,0,0.20392,0.52614,0.9142010813887308,False
GO_BP_2023,Establishment Of Skin Barrier (GO:0061436),3,0,0.30823,0.52615,0.9142010813887308,False
Reactome_2022,Telomere C-strand Synthesis Initiation R-HSA-174430,3,0,0.076699,0.52636,0.9046810444874276,False
GO_BP_2023,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),3,0,0.19164,0.52669,0.9142010813887308,False
Reactome_2022,Metabolism Of Steroids R-HSA-8957322,3,0,0.15893,0.52671,0.9142010813887308,False
Reactome_2022,Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,3,0,0.4254,0.52696,0.9385924805531548,False
GO_BP_2023,Diol Biosynthetic Process (GO:0034312),3,0,0.34698,0.52708,0.922255873493976,False
Reactome_2022,Androgen Biosynthesis R-HSA-193048,3,0,0.46706,0.52727,0.9467693583273252,False
Reactome_2022,EGR2 And SOX10-mediated Initiation Of Schwann Cell Myelination R-HSA-9619665,3,0,0.39598,0.52737,0.9336131578947368,False
GO_BP_2023,Lipoprotein Biosynthetic Process (GO:0042158),3,0,0.32167,0.52772,0.9393504765535644,False
Hallmark_2020,Pperoxisome,3,0,0.066882,0.52785,0.8848690726817042,False
GO_BP_2023,Mononuclear Cell Differentiation (GO:1903131),3,0,0.086467,0.52846,0.9046810444874276,False
GO_BP_2023,Endothelial Cell Differentiation (GO:0045446),3,0,0.049221,0.5289,0.8635484411764706,False
GO_BP_2023,Response To dsRNA (GO:0043331),3,0,0.14344,0.52912,0.9441554404145076,False
GO_BP_2023,snRNA Transcription By RNA Polymerase II (GO:0042795),3,0,0.32356,0.52918,0.916709,False
GO_BP_2023,Endodermal Cell Differentiation (GO:0035987),3,0,0.35995,0.52924,0.922255873493976,False
GO_BP_2023,Negative Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903427),3,0,0.057716,0.52953,0.910877225609756,False
GO_BP_2023,Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),3,0,0.23732,0.5296,0.9142010813887308,False
GO_BP_2023,Protein Autoprocessing (GO:0016540),3,0,0.31438,0.52986,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034),3,0,0.15779,0.52999,0.9441554404145076,False
GO_BP_2023,Histone Deacetylation (GO:0016575),3,0,0.25537,0.53004,0.9142010813887308,False
Reactome_2022,RND3 GTPase Cycle R-HSA-9696264,3,0,0.14791,0.53018,0.9441554404145076,False
GO_BP_2023,Positive Regulation Of Phosphorylation (GO:0042327),3,0,0.34098,0.53161,0.9476422213769494,False
Reactome_2022,Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193,3,0,0.27977,0.53198,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Nervous System Development (GO:0051962),3,0,0.40771,0.532,0.9393504765535644,False
GO_BP_2023,Regulation Of Cardiac Conduction (GO:1903779),3,0,0.49214,0.53201,0.948727468785471,False
GO_BP_2023,Growth Hormone Receptor Signaling Pathway (GO:0060396),3,0,0.25696,0.5324,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Vascular Endothelial Cell Proliferation (GO:1905564),3,0,0.19775,0.5326,0.9142010813887308,False
Reactome_2022,Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769,3,0,0.2701,0.53272,0.9393504765535644,False
GO_BP_2023,Macrophage Chemotaxis (GO:0048246),3,0,0.21189,0.53278,0.9441554404145076,False
Reactome_2022,Packaging Of Telomere Ends R-HSA-171306,3,0,0.43939,0.53396,0.9393504765535644,False
GO_BP_2023,Positive Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051770),3,0,0.39927,0.53404,0.9336131578947368,False
GO_BP_2023,Regulation Of DNA Metabolic Process (GO:0051052),3,0,0.08528,0.53412,0.9046810444874276,False
GO_BP_2023,Cytosolic Transport (GO:0016482),3,0,0.51269,0.53415,0.9505385600553824,False
GO_BP_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),3,0,0.34244,0.53464,0.9476422213769494,False
GO_BP_2023,Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0043618),3,0,0.43732,0.53464,0.9467273592715232,False
GO_BP_2023,Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480),3,0,0.53014,0.53474,0.9505385600553824,False
GO_BP_2023,Regulation Of Double-Strand Break Repair (GO:2000779),3,0,0.13928,0.53558,0.9142010813887308,False
GO_BP_2023,Negative Regulation Of Telomere Maintenance (GO:0032205),3,0,0.16614,0.53562,0.9142010813887308,False
GO_BP_2023,Response To Hexose (GO:0009746),3,0,0.080909,0.53584,0.931722776523702,False
GO_BP_2023,Embryonic Digestive Tract Development (GO:0048566),3,0,0.37907,0.5359,0.9441554404145076,False
GO_BP_2023,Regulation Of DNA-templated DNA Replication (GO:0090329),3,0,0.14385,0.5361,0.9142010813887308,False
GO_BP_2023,Vesicle Fusion (GO:0006906),3,0,0.27889,0.53619,0.9142010813887308,False
GO_BP_2023,Regulation Of Fatty Acid Beta-Oxidation (GO:0031998),3,0,0.1902,0.53626,0.9336131578947368,False
GO_BP_2023,Regulation Of Dendritic Spine Development (GO:0060998),3,0,0.4022,0.5368,0.9336131578947368,False
Reactome_2022,Unwinding Of DNA R-HSA-176974,3,0,0.41449,0.53693,0.9348970419426048,False
GO_BP_2023,Regulation Of Lipoprotein Lipase Activity (GO:0051004),3,0,0.20048,0.5372,0.9142010813887308,False
GO_BP_2023,Neuromuscular Process (GO:0050905),3,0,0.40342,0.53747,0.9441554404145076,False
GO_BP_2023,Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903322),3,0,0.45511,0.53749,0.9492369811320754,False
GO_BP_2023,Regulation Of Sensory Perception Of Pain (GO:0051930),3,0,0.42845,0.53758,0.9441554404145076,False
GO_BP_2023,Negative Regulation Of Protein Modification Process (GO:0031400),3,0,0.1148,0.53786,0.9109985401459854,False
GO_BP_2023,Formation Of Cytoplasmic Translation Initiation Complex (GO:0001732),3,0,0.33148,0.53817,0.9441554404145076,False
Reactome_2022,Fatty acyl-CoA Biosynthesis R-HSA-75105,3,0,0.43961,0.53847,0.9393504765535644,False
GO_BP_2023,Negative Regulation Of Signal Transduction By P53 Class Mediator (GO:1901797),3,0,0.41128,0.5385,0.9393504765535644,False
Reactome_2022,FCGR3A-mediated IL10 Synthesis R-HSA-9664323,3,0,0.22376,0.53866,0.9441554404145076,False
GO_BP_2023,Catecholamine Metabolic Process (GO:0006584),3,0,0.43364,0.5389,0.9467273592715232,False
Reactome_2022,SARS-CoV Infections R-HSA-9679506,3,0,0.20351,0.53893,0.9142010813887308,False
GO_BP_2023,Establishment Of Mitotic Spindle Localization (GO:0040001),3,0,0.30403,0.53903,0.9441554404145076,False
Reactome_2022,Activation Of RAC1 R-HSA-428540,3,0,0.28119,0.53914,0.9142010813887308,False
GO_BP_2023,Natural Killer Cell Activation (GO:0030101),3,0,0.23839,0.5392,0.9441554404145076,False
Reactome_2022,FGFR1 Mutant Receptor Activation R-HSA-1839124,3,0,0.3275,0.5392,0.9176798134942402,False
GO_BP_2023,Cytoplasmic Microtubule Organization (GO:0031122),3,0,0.20507,0.53936,0.9142010813887308,False
Reactome_2022,JNK (c-Jun Kinases) Phosphorylation And Activation Mediated By Activated Human TAK1 R-HSA-450321,3,0,0.37055,0.53939,0.9381720173535792,False
GO_BP_2023,Regulation Of Interleukin-1 Beta Production (GO:0032651),3,0,0.47198,0.53951,0.9505385600553824,False
GO_BP_2023,Histone H2A Monoubiquitination (GO:0035518),3,0,0.25462,0.53963,0.9142010813887308,False
Reactome_2022,Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427,3,0,0.48684,0.54013,0.9397101251422072,False
GO_BP_2023,Steroid Hormone Mediated Signaling Pathway (GO:0043401),3,0,0.10747,0.54045,0.9090356792144026,False
GO_BP_2023,Central Nervous System Neuron Development (GO:0021954),3,0,0.22907,0.54081,0.9476422213769494,False
GO_BP_2023,Regulation Of DNA Biosynthetic Process (GO:2000278),3,0,0.40815,0.54093,0.9393504765535644,False
Reactome_2022,Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,3,0,0.37513,0.54098,0.9281895580378826,False
GO_BP_2023,Regulation Of miRNA-mediated Gene Silencing (GO:0060964),3,0,0.39603,0.54129,0.9476422213769494,False
Reactome_2022,MyD88 Deficiency (TLR2/4) R-HSA-5602498,3,0,0.27701,0.54135,0.9441554404145076,False
GO_BP_2023,Sterol Metabolic Process (GO:0016125),3,0,0.017939,0.54172,0.8503912258064517,False
Reactome_2022,Formation Of TC-NER Pre-Incision Complex R-HSA-6781823,3,0,0.24964,0.5424,0.9409911612426036,False
GO_BP_2023,Modulation By Host Of Symbiont Process (GO:0051851),3,0,0.18916,0.54263,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:1905168),3,0,0.3771,0.54286,0.9381720173535792,False
GO_BP_2023,Cardiac Epithelial To Mesenchymal Transition (GO:0060317),3,0,0.37647,0.54298,0.9441554404145076,False
GO_BP_2023,Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0045742),3,0,0.18167,0.54334,0.9142010813887308,False
Reactome_2022,Organic Cation/Anion/Zwitterion Transport R-HSA-549132,3,0,0.48769,0.5434,0.9505385600553824,False
GO_BP_2023,Regulation Of Cardiac Muscle Contraction (GO:0055117),3,0,0.28638,0.5438,0.9473254447662393,False
GO_BP_2023,Aerobic Electron Transport Chain (GO:0019646),3,0,0.39101,0.54392,0.9441554404145076,False
Reactome_2022,Cleavage Of Damaged Purine R-HSA-110331,3,0,0.37563,0.54396,0.9441554404145076,False
Reactome_2022,Selenocysteine Synthesis R-HSA-2408557,3,0,0.24413,0.54406,0.9441554404145076,False
GO_BP_2023,Regulation Of Defense Response To Virus (GO:0050688),3,0,0.13668,0.54413,0.9441554404145076,False
GO_BP_2023,Leukocyte Adhesion To Vascular Endothelial Cell (GO:0061756),3,0,0.30029,0.5442,0.9441554404145076,False
Reactome_2022,Cargo Trafficking To Periciliary Membrane R-HSA-5620920,3,0,0.16495,0.5444,0.9441554404145076,False
GO_BP_2023,Positive Regulation Of Binding (GO:0051099),3,0,0.33867,0.54443,0.9336131578947368,False
GO_BP_2023,Negative Regulation Of Lipid Storage (GO:0010888),3,0,0.099593,0.54476,0.9090356792144026,False
GO_BP_2023,Histone Modification (GO:0016570),3,0,0.31618,0.54502,0.914765388951522,False
GO_BP_2023,Positive Regulation Of Coagulation (GO:0050820),3,0,0.12607,0.54521,0.9441554404145076,False
GO_BP_2023,Positive Regulation Of Hemostasis (GO:1900048),3,0,0.12607,0.54521,0.9441554404145076,False
GO_BP_2023,Monoatomic Cation Transport (GO:0006812),3,0,0.4517,0.54591,0.9393504765535644,False
Reactome_2022,Chemokine Receptors Bind Chemokines R-HSA-380108,3,0,0.10912,0.54617,0.9090356792144026,False
GO_BP_2023,Lysosomal Lumen Acidification (GO:0007042),3,0,0.39287,0.54636,0.9441554404145076,False
Reactome_2022,Phospholipase C-mediated Cascade; FGFR4 R-HSA-5654228,3,0,0.42391,0.54645,0.9381720173535792,False
GO_BP_2023,Regulation Of Immune Response (GO:0050776),3,0,0.41991,0.54684,0.9393504765535644,False
GO_BP_2023,Regulation Of Epithelial Cell Migration (GO:0010632),3,0,0.33064,0.54698,0.917809705561614,False
GO_BP_2023,L-serine Metabolic Process (GO:0006563),3,0,0.50387,0.54707,0.9454545718432512,False
Reactome_2022,Platelet Adhesion To Exposed Collagen R-HSA-75892,3,0,0.14744,0.54725,0.9476422213769494,False
GO_BP_2023,Multicellular Organismal-Level Iron Ion Homeostasis (GO:0060586),3,0,0.10548,0.54754,0.9090356792144026,False
GO_BP_2023,Striated Muscle Tissue Development (GO:0014706),3,0,0.47791,0.5478,0.9510283345892993,False
GO_BP_2023,Regulation Of ATP Biosynthetic Process (GO:2001169),3,0,0.10134,0.54784,0.9090356792144026,False
GO_BP_2023,Transepithelial Transport (GO:0070633),3,0,0.14301,0.54798,0.9441554404145076,False
GO_BP_2023,Retrotransposon Silencing (GO:0010526),3,0,0.28119,0.5483,0.9142010813887308,False
GO_BP_2023,Hematopoietic Progenitor Cell Differentiation (GO:0002244),3,0,0.044639,0.5484,0.8635484411764706,False
GO_BP_2023,Negative Regulation Of Biomineral Tissue Development (GO:0070168),3,0,0.24603,0.54844,0.9142010813887308,False
GO_BP_2023,Negative Regulation Of Fatty Acid Biosynthetic Process (GO:0045717),3,0,0.49021,0.54866,0.9409529977794228,False
GO_BP_2023,Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913),3,0,0.41861,0.54878,0.9529937644341802,False
Reactome_2022,Cap-dependent Translation Initiation R-HSA-72737,3,0,0.21704,0.54895,0.9441554404145076,False
Reactome_2022,Reactions Specific To Complex N-glycan Synthesis Pathway R-HSA-975578,3,0,0.35374,0.54934,0.922255873493976,False
GO_BP_2023,Regulation Of Fatty Acid Biosynthetic Process (GO:0042304),3,0,0.21405,0.54936,0.9142010813887308,False
GO_BP_2023,Regulation Of Cell Size (GO:0008361),3,0,0.33533,0.54936,0.9216143088552916,False
GO_BP_2023,Negative Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060394),3,0,0.24781,0.54954,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Epithelial Cell Migration (GO:0010634),3,0,0.43642,0.54958,0.9393504765535644,False
GO_BP_2023,Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429),3,0,0.44288,0.54961,0.9393504765535644,False
GO_BP_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),3,0,0.44085,0.54975,0.9393504765535644,False
Reactome_2022,Apoptotic Factor-Mediated Response R-HSA-111471,3,0,0.24524,0.55008,0.9441554404145076,False
Reactome_2022,Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231,3,0,0.40015,0.55019,0.9336131578947368,False
GO_BP_2023,Cellular Response To Hydrogen Peroxide (GO:0070301),3,0,0.28058,0.55031,0.9142010813887308,False
GO_BP_2023,Odontogenesis Of Dentin-Containing Tooth (GO:0042475),3,0,0.47656,0.55036,0.9476422213769494,False
Reactome_2022,Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360,3,0,0.43986,0.55038,0.9467273592715232,False
Reactome_2022,Signaling By NTRK3 (TRKC) R-HSA-9034015,3,0,0.27672,0.55052,0.9142010813887308,False
GO_BP_2023,Acylglycerol Metabolic Process (GO:0006639),3,0,0.2827,0.55097,0.9142010813887308,False
Reactome_2022,Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332,3,0,0.11751,0.55116,0.9109985401459854,False
Reactome_2022,Signaling By FGFR4 R-HSA-5654743,3,0,0.34765,0.55121,0.922255873493976,False
GO_BP_2023,Regulation Of Phosphatase Activity (GO:0010921),3,0,0.038557,0.55135,0.8635484411764706,False
GO_BP_2023,Positive Regulation Of Lamellipodium Organization (GO:1902745),3,0,0.24977,0.55143,0.9142010813887308,False
GO_BP_2023,Regulation Of Cellular Localization (GO:0060341),3,0,0.35295,0.55153,0.9441554404145076,False
Reactome_2022,Regulation Of NF-kappa B Signaling R-HSA-9758274,3,0,0.19105,0.55155,0.9441554404145076,False
GO_BP_2023,Nucleocytoplasmic Transport (GO:0006913),3,0,0.32657,0.55231,0.9172943219404628,False
