TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
right_ALPS,Reactome_2022,Asymmetric Localization Of PCP Proteins R-HSA-4608870,Reactome_2022::Asymmetric_Localization_Of_PCP_Proteins_R-HSA-4608870,61,0.32695,0.018902,0.12865,0.0055272,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,"Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998","Reactome_2022::Cell_Death_Signaling_Via_NRAGE,_NRIF_And_NADE_R-HSA-204998",68,0.29298,0.01788,0.1156,0.0056374,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Transcription Of E2F Targets Under Negative Control By DREAM Complex R-HSA-1362277,Reactome_2022::Transcription_Of_E2F_Targets_Under_Negative_Control_By_DREAM_Complex_R-HSA-1362277,19,0.55487,0.017924,0.21908,0.0056645,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Erythrocyte Development (GO:0048821),GO_BP_2023::Erythrocyte_Development_(GO:0048821),8,0.99138,0.020786,0.39173,0.005696,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Regulation Of Lipid Transport (GO:0032368),GO_BP_2023::Regulation_Of_Lipid_Transport_(GO:0032368),10,0.57336,0.01344,0.22758,0.005883,0.5931829444444445,1.0,False,False
right_ALPS,GO_BP_2023,Positive Regulation Of Chemokine Production (GO:0032722),GO_BP_2023::Positive_Regulation_Of_Chemokine_Production_(GO:0032722),51,0.32009,0.016925,0.12765,0.0060838,0.5931829444444445,1.0,False,False
right_ALPS,Reactome_2022,Signaling By Hedgehog R-HSA-5358351,Reactome_2022::Signaling_By_Hedgehog_R-HSA-5358351,132,0.22151,0.018801,0.088534,0.0061807,0.5931829444444445,1.0,False,False
right_ALPS,GO_BP_2023,Positive Regulation Of Transcription Elongation By RNA Polymerase II (GO:0032968),GO_BP_2023::Positive_Regulation_Of_Transcription_Elongation_By_RNA_Polymerase_II_(GO:0032968),42,0.35886,0.017224,0.14351,0.0062032,0.5931829444444445,1.0,False,False
right_ALPS,Reactome_2022,GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,Reactome_2022::GSK3B_And_BTRC:CUL1-mediated-degradation_Of_NFE2L2_R-HSA-9762114,50,0.35887,0.018789,0.1438,0.0062931,0.5931829444444445,1.0,False,False
right_ALPS,GO_BP_2023,Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031110),GO_BP_2023::Regulation_Of_Microtubule_Polymerization_Or_Depolymerization_(GO:0031110),27,0.43828,0.016873,0.17654,0.0065259,0.5940211785714286,1.0,False,False
